transaction_id,date,customer,category,amount,currency,status
TRX-00054,2026-02-04,Velazquez Ltd,Service,28988.98,IRR,Paid
TRX-00055,2025-08-21,Estrada LLC,Expense,409469.95,IRR,Paid
TRX-00056,2024-08-15,Taylor PLC,Sales,368474.56,IRR,Paid
TRX-00057,2025-06-01,Nguyen-Allen,Service,164500.59,IRR,Paid
TRX-00058,2025-04-17,Jackson and Sons,Purchase,216089.69,IRR,Paid
TRX-00059,2025-08-25,Miller-Hernandez,Expense,196309.28,IRR,Paid
TRX-00060,2024-10-26,"Ramirez, Bailey and Wilson",Expense,344779.65,IRR,Paid
TRX-00061,2026-07-04,Arnold Group,Sales,478073.62,IRR,Paid
TRX-00062,2026-05-22,"Russell, Jackson and Thompson",Sales,370708.8,IRR,Pending
TRX-00063,2025-09-09,Patel-Garcia,Sales,406760.32,IRR,Pending
TRX-00064,2025-05-19,Randolph Inc,Purchase,238995.45,IRR,Cancelled
TRX-00065,2025-11-16,Nash Ltd,Expense,305093.76,IRR,Cancelled
TRX-00066,2025-04-06,Parker LLC,Purchase,152509.51,IRR,Pending
TRX-00067,2025-08-03,Ortega-Melton,Sales,389816.36,IRR,Cancelled
TRX-00068,2025-03-28,"Jackson, David and Soto",Expense,203105.15,IRR,Cancelled
TRX-00069,2024-10-15,Gomez and Sons,Purchase,306810.17,IRR,Cancelled
TRX-00070,2026-03-09,"Hernandez, Garcia and Hall",Sales,487925.82,IRR,Cancelled
TRX-00071,2025-02-13,"Foster, Perry and Spencer",Sales,79278.3,IRR,Pending
TRX-00072,2024-12-09,"Gonzales, Torres and Jones",Expense,212831.85,IRR,Pending
TRX-00073,2025-11-16,"Scott, Taylor and Campbell",Sales,242861.52,IRR,Cancelled
TRX-00074,2025-03-03,Hickman LLC,Purchase,288567.02,IRR,Cancelled
TRX-00075,2026-04-05,Thompson Ltd,Expense,274071.15,IRR,Cancelled
TRX-00076,2025-05-23,Carlson Group,Purchase,28538.17,IRR,Cancelled
TRX-00077,2025-01-12,King PLC,Sales,241566.49,IRR,Paid
TRX-00078,2025-12-08,Ingram-Fisher,Sales,100406.63,IRR,Cancelled
TRX-00079,2026-06-12,Arnold-Miller,Service,141549.06,IRR,Pending
TRX-00080,2025-10-06,King PLC,Purchase,289049.76,IRR,Paid
TRX-00081,2025-07-12,"Jackson, Becker and Brown",Purchase,488807.88,IRR,Paid
TRX-00082,2026-03-18,Fry-Munoz,Expense,289282.87,IRR,Cancelled
TRX-00083,2025-04-23,Vincent and Sons,Sales,289591.3,IRR,Pending
TRX-00084,2026-01-21,Harvey Group,Service,141428.32,IRR,Cancelled
TRX-00085,2025-11-23,"Brown, Robinson and Morris",Sales,299636.35,IRR,Paid
TRX-00086,2025-09-26,Kramer LLC,Service,458879.28,IRR,Pending
TRX-00087,2025-02-13,"Adams, Lopez and Chambers",Service,269547.29,IRR,Paid
TRX-00088,2025-07-09,Walton-Rodriguez,Purchase,426508.07,IRR,Paid
TRX-00089,2025-02-04,Edwards Ltd,Purchase,56567.81,IRR,Pending
TRX-00090,2025-06-01,Douglas-Morgan,Purchase,105776.42,IRR,Cancelled
TRX-00091,2026-02-11,Peterson-Kerr,Service,389386.78,IRR,Pending
TRX-00092,2026-05-06,Fowler-Taylor,Sales,190496.87,IRR,Paid
TRX-00093,2025-08-04,Holland-Sanchez,Purchase,282050.81,IRR,Cancelled
TRX-00094,2025-09-07,Kane and Sons,Service,207550.82,IRR,Pending
TRX-00095,2024-11-14,White-Torres,Expense,37820.61,IRR,Paid
TRX-00096,2026-01-13,Brown-Clements,Expense,83690.6,IRR,Paid
TRX-00097,2025-05-08,Kennedy-Hughes,Purchase,291573.7,IRR,Cancelled
TRX-00098,2025-08-28,"Hunt, Young and Obrien",Sales,433419.55,IRR,Paid
TRX-00099,2026-05-19,"Yang, Lawrence and Young",Sales,413479.82,IRR,Pending
TRX-00100,2025-04-02,"Martin, Kelley and Phillips",Purchase,288788.33,IRR,Pending
